Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
45 1322.58 785.10 13.106717 1.10118 0 0.346345 0 0 0 0 0 0 0 0.0287932 0.162101 0.0252439 0 98.3363
46 709.68 819.20 18.579931 15.6647 0 4.8288 0 0 0 0 0 0 0 0.328674 2.30765 0.401817 0 76.4684
44 1016.13 805.80 13.471139 0.277324 0 0.087044 0 0 0 0 0 0 0 0.00710233 0.0407512 0.00655165 0 99.5812
20 403.23 875.40 14.814348 0.0262522 0 0.00813909 0 0 0 0 0 0 0 0.000589232 0.00383593 0.000699672 0 99.9605
45 862.90 819.10 13.714000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
37 1169.35 796.00 13.134363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
46 1322.58 785.20 13.071063 0.933801 0 0.293742 0 0 0 0 0 0 0 0.0244505 0.137454 0.0213995 0 98.5892
45 1016.13 805.90 13.437358 0.119299 0 0.0374493 0 0 0 0 0 0 0 0.00305919 0.0175295 0.0028175 0 99.8198
47 709.68 818.20 18.863389 16.3969 0 5.05081 0 0 0 0 0 0 0 0.340985 2.41611 0.421411 0 75.3738
40 556.45 842.70 17.428081 11.1837 0 3.45217 0 0 0 0 0 0 0 0.238505 1.64219 0.292856 0 83.1906
38 1169.35 795.00 13.167130 0.158457 0 0.049818 0 0 0 0 0 0 0 0.0041265 0.0233025 0.00367772 0 99.7606
47 1322.58 785.30 13.035388 0.765423 0 0.24081 0 0 0 0 0 0 0 0.0200695 0.112663 0.0175348 0 98.8435
46 862.90 818.80 13.713787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
46 1016.13 806.00 13.411981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
21 403.23 875.80 14.808538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
44 1475.81 900.00 12.705823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
47 862.90 818.80 13.713787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
41 556.45 841.70 17.718464 12.0601 0 3.71984 0 0 0 0 0 0 0 0.254848 1.77132 0.316447 0 81.8774
39 1169.35 795.10 13.133896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
45 1475.81 897.00 12.703212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
22 403.23 875.50 14.808386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
47 1016.13 805.90 13.437358 0.119299 0 0.0374493 0 0 0 0 0 0 0 0.00305919 0.0175295 0.0028175 0 99.8198
42 556.45 840.70 18.006215 12.9011 0 3.97627 0 0 0 0 0 0 0 0.270173 1.89529 0.339185 0 80.618
40 1169.35 795.00 13.167130 0.158457 0 0.049818 0 0 0 0 0 0 0 0.0041265 0.0233025 0.00367772 0 99.7606
48 1322.58 785.40 12.999692 0.596035 0 0.187545 0 0 0 0 0 0 0 0.0156498 0.0877257 0.0136496 0 99.0994
48 862.90 817.80 14.044052 1.49395 0 0.467496 0 0 0 0 0 0 0 0.0370968 0.219394 0.0361472 0 97.7459
46 1475.81 894.00 12.700625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
48 709.68 817.20 19.144199 17.1012 0 5.264 0 0 0 0 0 0 0 0.352531 2.52049 0.440341 0 74.3215
41 1169.35 795.40 13.134051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
48 1016.13 806.30 13.412174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
23 403.23 875.50 14.808386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
47 1475.81 891.00 12.698064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
49 709.68 816.20 19.422364 17.7791 0 5.46887 0 0 0 0 0 0 0 0.363365 2.621 0.45864 0 73.309
42 1169.35 795.10 13.133896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
49 1016.13 806.00 13.411981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
49 862.90 816.80 14.370307 2.90332 0 0.907488 0 0 0 0 0 0 0 0.071238 0.42655 0.0704493 0 95.621
43 556.45 839.70 18.291331 13.7087 0 4.22211 0 0 0 0 0 0 0 0.284554 2.0144 0.361115 0 79.4092
48 1475.81 888.00 12.695528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
24 403.23 874.50 15.094978 1.23046 0 0.38118 0 0 0 0 0 0 0 0.0273659 0.17984 0.0328637 0 98.1483
49 1322.58 785.50 12.963976 0.425628 0 0.133945 0 0 0 0 0 0 0 0.0111911 0.0626415 0.0097438 0 99.3569
43 1169.35 795.10 13.133896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
50 862.90 815.80 14.694260 4.24173 0 1.32436 0 0 0 0 0 0 0 0.102864 0.623445 0.103214 0 93.6044
50 1016.13 806.00 13.411981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
49 1475.81 885.00 12.693020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
25 403.23 873.50 15.404327 2.50771 0 0.776179 0 0 0 0 0 0 0 0.0552168 0.366621 0.0671313 0 96.2271
50 1322.58 785.60 12.928238 0.254195 0 0.0800062 0 0 0 0 0 0 0 0.00669289 0.0374089 0.0058172 0 99.6159
50 709.68 815.20 19.760123 18.5805 0 5.70195 0 0 0 0 0 0 0 0.368665 2.71995 0.514697 0 72.1142
51 862.90 814.80 15.015855 5.51412 0 1.71977 0 0 0 0 0 0 0 0.132186 0.810783 0.134541 0 91.6886
44 1169.35 794.10 13.478919 1.60744 0 0.504766 0 0 0 0 0 0 0 0.0413626 0.236498 0.0374185 0 97.5725
44 556.45 838.70 18.573812 14.4847 0 4.45795 0 0 0 0 0 0 0 0.298056 2.12892 0.382281 0 78.2481
51 1016.13 805.00 13.740618 1.51051 0 0.473631 0 0 0 0 0 0 0 0.0382929 0.222047 0.035774 0 97.7197
50 1475.81 882.00 12.690541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
45 1169.35 793.10 13.823303 3.13305 0 0.982564 0 0 0 0 0 0 0 0.0795716 0.461188 0.0731663 0 95.2705
51 709.68 814.20 20.207299 19.6057 0 5.98727 0 0 0 0 0 0 0 0.364847 2.81747 0.636498 0 70.5883
26 403.23 872.50 15.711065 3.72514 0 1.15202 0 0 0 0 0 0 0 0.0812202 0.544754 0.0999466 0 94.3969
52 1016.13 804.00 14.075500 2.97816 0 0.932681 0 0 0 0 0 0 0 0.0745594 0.437997 0.0707475 0 95.5059
51 1322.58 785.70 12.892481 0.0817268 0 0.0257266 0 0 0 0 0 0 0 0.00215485 0.0120267 0.00186965 0 99.8765
45 556.45 837.70 18.853659 15.2309 0 4.68437 0 0 0 0 0 0 0 0.31074 2.23909 0.402719 0 77.1322
