Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
27 1169.35 822.00 100.016311 64.5217 0.0748319 10.227 0.162772 0 0.393989 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
39 709.68 826.20 100.016593 64.5215 0.0748317 10.227 0.165588 0 0.391453 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
38 1016.13 805.20 100.016810 64.5214 0.0748315 10.227 0.167753 0 0.389504 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
37 250.00 885.70 100.015852 64.522 0.0748322 10.2271 0.158194 0 0.39811 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
14 403.23 875.00 100.015979 64.5219 0.0748321 10.2271 0.159465 0 0.396966 0 0.0166294 0 0 0.340902 3.73329 3.89958 0 16.6294
40 709.68 825.20 100.016609 64.5215 0.0748316 10.227 0.165749 0 0.391308 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
38 1322.58 789.00 100.016922 64.5213 0.0748314 10.227 0.168875 0 0.388493 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
33 556.45 849.70 100.016286 64.5217 0.0748319 10.227 0.162529 0 0.394207 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
38 862.90 818.50 100.016655 64.5215 0.0748316 10.227 0.166206 0 0.390897 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
39 1016.13 805.30 100.016808 64.5214 0.0748315 10.227 0.167735 0 0.38952 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
28 1169.35 819.00 100.016374 64.5217 0.0748318 10.227 0.163407 0 0.393417 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
38 250.00 884.70 100.015864 64.522 0.0748322 10.2271 0.158312 0 0.398004 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
39 1322.58 786.00 100.016995 64.5213 0.0748314 10.227 0.169601 0 0.38784 0 0.0166292 0 0 0.340898 3.73325 3.89955 0 16.6292
34 556.45 848.70 100.016301 64.5217 0.0748319 10.227 0.162672 0 0.394078 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
